time_s,D1_m,D2_m,D3_m
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,-6.209470645214646129e-07,-6.129138510810117602e-07,-5.964785756572913440e-07
2.000000000000000042e-02,-2.874755785905788663e-06,-2.812565838550035173e-06,-2.687372298536571212e-06
2.999999999999999889e-02,-7.398210067136104585e-06,-7.144704405004118444e-06,-6.645125071832831713e-06
4.000000000000000083e-02,-1.528713975954688306e-05,-1.453959192962770852e-05,-1.310399523014496385e-05
5.000000000000000278e-02,-2.917358306116369160e-05,-2.734478936249845567e-05,-2.393263540798340483e-05
5.999999999999999778e-02,-5.205692738287080496e-05,-4.808824472986750632e-05,-4.090658271801493151e-05
7.000000000000000666e-02,-8.380389818907520974e-05,-7.595015850038534561e-05,-6.219805379782966540e-05
8.000000000000000167e-02,-1.195151503170818985e-04,-1.052182622088650886e-04,-8.110902968384679649e-05
8.999999999999999667e-02,-1.528343766834558783e-04,-1.287863826426906548e-04,-9.003986717747675486e-05
1.000000000000000056e-01,-1.809561022491482693e-04,-1.433321826454268886e-04,-8.603337988661235525e-05
1.100000000000000006e-01,-2.056548098406984278e-04,-1.503944959390121985e-04,-7.187579107067700772e-05
1.199999999999999956e-01,-2.303103478691781610e-04,-1.533377360768290723e-04,-5.277796481370015101e-05
1.300000000000000044e-01,-2.575023059079551650e-04,-1.548542900562028027e-04,-3.348568077124181020e-05
1.400000000000000133e-01,-2.887596973575344344e-04,-1.566413684586307733e-04,-1.759940200368434774e-05
1.499999999999999944e-01,-3.245522806485891991e-04,-1.593501471842534163e-04,-7.258108970127539600e-06
1.600000000000000033e-01,-3.640250638236440951e-04,-1.623138494738085450e-04,-2.726732269203102127e-06
1.700000000000000122e-01,-4.057262388428496029e-04,-1.642991851018705651e-04,-3.129037736785607507e-06
1.799999999999999933e-01,-4.488935915135688795e-04,-1.648176705984012356e-04,-7.801846638291118002e-06
1.900000000000000022e-01,-4.934164251268627430e-04,-1.640923657870102330e-04,-1.631576178248158671e-05
2.000000000000000111e-01,-5.386269404147031982e-04,-1.618475801632530888e-04,-2.735171617111457190e-05
2.099999999999999922e-01,-5.830432445114647807e-04,-1.570655885085851951e-04,-3.861203036078181630e-05
2.200000000000000011e-01,-6.255052665510967827e-04,-1.491426511281045619e-04,-4.816230858973956754e-05
2.300000000000000100e-01,-6.658275278527090455e-04,-1.385423539381302311e-04,-5.522983054113248685e-05
2.399999999999999911e-01,-7.041396883511850816e-04,-1.261137284719484979e-04,-5.960577957338645177e-05
2.500000000000000000e-01,-7.401879203443208341e-04,-1.123660675616870269e-04,-6.097524174238324370e-05
2.600000000000000089e-01,-7.734304768168868364e-04,-9.754564144042733272e-05,-5.903964478788545312e-05
2.700000000000000178e-01,-8.033706031857202039e-04,-8.195379338797008763e-05,-5.385931640937686277e-05
2.800000000000000266e-01,-8.297312330720037557e-04,-6.610383153602588172e-05,-4.599750281865991184e-05
2.899999999999999800e-01,-8.526700741148481900e-04,-5.090989711484495913e-05,-3.665041379182444381e-05
2.999999999999999889e-01,-8.729101715529221121e-04,-3.777871811778296088e-05,-2.763282703520500471e-05
3.099999999999999978e-01,-8.915909090219222358e-04,-2.841038715953073012e-05,-2.103946263546792217e-05
3.200000000000000067e-01,-9.101599755874748574e-04,-2.463415746250219952e-05,-1.893353119068821335e-05
3.300000000000000155e-01,-9.304225300441152377e-04,-2.839902764379807521e-05,-2.320344041508168046e-05
3.400000000000000244e-01,-9.541423101720316680e-04,-4.132075562326469406e-05,-3.501520650282819987e-05
3.499999999999999778e-01,-9.820175453299486920e-04,-6.362927168444068853e-05,-5.375477079129263667e-05
3.599999999999999867e-01,-1.013133064772190044e-03,-9.364189998255861792e-05,-7.663162790067553753e-05
3.699999999999999956e-01,-1.045637460001258524e-03,-1.285112613605422750e-04,-9.967537480728641411e-05
3.800000000000000044e-01,-1.077807203434786015e-03,-1.653833505412639698e-04,-1.191790794074485039e-04
3.900000000000000133e-01,-1.108577718418974180e-03,-2.020173844476218228e-04,-1.325549969998641824e-04
4.000000000000000222e-01,-1.137662574918805059e-03,-2.369734791288742397e-04,-1.386576468373979182e-04
4.099999999999999756e-01,-1.165244068488851051e-03,-2.693502802087400149e-04,-1.375454198898465373e-04
