time_s,u1_m,u2_m,u3_m,drift1_m,drift2_m,drift3_m,V1_kN,V2_kN,V3_kN,Vbase_kN,Mb_kNm
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,-6.146150368802382532e-07,-6.227474837594726794e-07,-6.228928600128037893e-07,-6.146150368802382532e-07,-8.132446879234426282e-09,-1.453762533311098995e-10,-3.933536236033524820e-03,-5.204766002710032821e-05,-4.652040106595516783e-07,-3.933536236033524820e-03,-1.195814730021385261e-02
2.000000000000000042e-02,-2.826016902453151862e-06,-2.888344117216914332e-06,-2.889909837934547186e-06,-2.826016902453151862e-06,-6.232721476376246989e-08,-1.565720717632854500e-09,-1.808650817570017083e-02,-3.988941744880798073e-04,-5.010306296425134399e-06,-1.808650817570017083e-02,-5.547123796945403057e-02
2.999999999999999889e-02,-7.201015229766014499e-06,-7.451758931894940023e-06,-7.460459006564600535e-06,-7.201015229766014499e-06,-2.507437021289255245e-07,-8.700074669660511474e-09,-4.608649747050249518e-02,-1.604759693625123357e-03,-2.784023894291363672e-05,-4.608649747050249518e-02,-1.431572922092116118e-01
4.000000000000000083e-02,-1.471081876868551916e-05,-1.543860822221892101e-05,-1.547236732967492416e-05,-1.471081876868551916e-05,-7.277894535334018545e-07,-3.375910745600314757e-08,-9.414924011958732131e-02,-4.657852502613772303e-03,-1.080291438592100722e-04,-9.414924011958732131e-02,-2.967453652981809076e-01
5.000000000000000278e-02,-2.777742985807690033e-05,-2.952702368650885346e-05,-2.963114760091316232e-05,-2.777742985807690033e-05,-1.749593828431953135e-06,-1.041239144043088556e-07,-1.777755510916921577e-01,-1.119740050196450093e-02,-3.331965260937883380e-04,-1.777755510916921577e-01,-5.679184443592513176e-01
5.999999999999999778e-02,-4.905784077870294091e-05,-5.278571403111336001e-05,-5.305977777709870215e-05,-4.905784077870294091e-05,-3.727873252410419101e-06,-2.740637459853421378e-07,-3.139701809836988322e-01,-2.385838881542668224e-02,-8.770039871530948411e-04,-3.139701809836988322e-01,-1.016116721358836017e+00
7.000000000000000666e-02,-7.793224668767285111e-05,-8.516732801676746799e-05,-8.580884593505554105e-05,-7.793224668767285111e-05,-7.235081329094616878e-06,-6.415179182880730545e-07,-4.987663788011062471e-01,-4.630452050620555149e-02,-2.052857338521833774e-03,-4.987663788011062471e-01,-1.641371269937500932e+00
8.000000000000000167e-02,-1.089538116648580040e-04,-1.218386610583433409e-04,-1.232059296714293139e-04,-1.089538116648580040e-04,-1.288484939348533696e-05,-1.367268613085972982e-06,-6.973043946550911976e-01,-8.246303611830615998e-02,-4.375259561875113543e-03,-6.973043946550911976e-01,-2.352428071005817412e+00
8.999999999999999667e-02,-1.353184636599625505e-04,-1.564331799595142616e-04,-1.591224680284795371e-04,-1.353184636599625505e-04,-2.111471629955171108e-05,-2.689288068965275513e-06,-8.660381674237602745e-01,-1.351341843171309509e-01,-8.605721820688881640e-03,-8.660381674237602745e-01,-3.029334220684740231e+00
1.000000000000000056e-01,-1.540092130008309849e-04,-1.860175341527379555e-04,-1.909412172483563490e-04,-1.540092130008309849e-04,-3.200832115190697068e-05,-4.923683095618393507e-06,-9.856589632053183170e-01,-2.048532553722046123e-01,-1.575578590597885922e-02,-9.856589632053183170e-01,-3.618804013450505064e+00
1.100000000000000006e-01,-1.668529487275808654e-04,-2.121227278593710544e-04,-2.205703755212567877e-04,-1.668529487275808654e-04,-4.526977913179018901e-05,-8.447647661885733256e-06,-1.067858871856517622e+00,-2.897265864434572236e-01,-2.703247251803434642e-02,-1.067858871856517622e+00,-4.153853792454026639e+00
1.199999999999999956e-01,-1.774759564410378508e-04,-2.378103319417891343e-04,-2.514767477553265054e-04,-1.774759564410378508e-04,-6.033437550075128352e-05,-1.366641581353737105e-05,-1.135846121222642280e+00,-3.861400032048082354e-01,-4.373253060331958736e-02,-1.135846121222642280e+00,-4.697155965092310481e+00
1.300000000000000044e-01,-1.887977095994672816e-04,-2.653224114390640440e-04,-2.862933644480416422e-04,-1.887977095994672816e-04,-7.652470183959676243e-05,-2.097095300897759826e-05,-1.208305341436590519e+00,-4.897580917734192796e-01,-6.710704962872832136e-02,-1.208305341436590519e+00,-5.295511448516214692e+00
1.400000000000000133e-01,-2.026944917919253064e-04,-2.958831778997470028e-04,-3.265775857710760005e-04,-2.026944917919253064e-04,-9.318868610782169641e-05,-3.069440787132899761e-05,-1.297244747468321968e+00,-5.964075910900588084e-01,-9.822210518825279235e-02,-1.297244747468321968e+00,-5.975623331239900082e+00
1.499999999999999944e-01,-2.199328209204594255e-04,-3.297304316090672550e-04,-3.728047071768814699e-04,-2.199328209204594255e-04,-1.097976106886078295e-04,-4.307427556781421489e-05,-1.407570053890940365e+00,-7.027047084070900951e-01,-1.378376818170054807e-01,-1.407570053890940365e+00,-6.744337332345107683e+00
1.600000000000000033e-01,-2.398813333741849497e-04,-3.658733500139685043e-04,-4.240983695451881557e-04,-2.398813333741849497e-04,-1.259920166397835546e-04,-5.822501953121965142e-05,-1.535240533594783630e+00,-8.063489064946147700e-01,-1.863200624999028776e-01,-1.535240533594783630e+00,-7.583728507767903970e+00
1.700000000000000122e-01,-2.612480689006941269e-04,-4.028265711143012590e-04,-4.789498471206070579e-04,-2.612480689006941269e-04,-1.415785022136071322e-04,-7.612327600630579890e-05,-1.671987640964442523e+00,-9.061024141670857013e-01,-2.435944832201785704e-01,-1.671987640964442523e+00,-8.465053615055120773e+00
1.799999999999999933e-01,-2.833854051391342479e-04,-4.398924020091112713e-04,-5.364980663575715089e-04,-2.833854051391342479e-04,-1.565069968699770234e-04,-9.660566434846023761e-05,-1.813666592890459173e+00,-1.001644779967852950e+00,-3.091381259150727812e-01,-1.813666592890459173e+00,-9.373348496320154766e+00
1.900000000000000022e-01,-3.062618533691639625e-04,-4.771141014807335381e-04,-5.964923198051687910e-04,-3.062618533691639625e-04,-1.708522481115695756e-04,-1.193782183244352529e-04,-1.960075861562649457e+00,-1.093454387914045256e+00,-3.820102986381928023e-01,-1.960075861562649457e+00,-1.030662164434466277e+01
2.000000000000000111e-01,-3.292645489112277341e-04,-5.140521709602592724e-04,-6.580880512515794017e-04,-3.292645489112277341e-04,-1.847876220490315383e-04,-1.440358802913201293e-04,-2.107293113031857512e+00,-1.182640781113801776e+00,-4.609148169322244137e-01,-2.107293113031857512e+00,-1.125254613323365049e+01
2.099999999999999922e-01,-3.509704554033459835e-04,-5.495026544427508578e-04,-7.195921411521558455e-04,-3.509704554033459835e-04,-1.985321990394048742e-04,-1.700894867094049877e-04,-2.246210914581414197e+00,-1.270606073852191154e+00,-5.442863574700960161e-01,-2.246210914581414197e+00,-1.218331003771110410e+01
2.200000000000000011e-01,-3.703180585882309066e-04,-5.826037512839221232e-04,-7.796003662751226212e-04,-3.703180585882309066e-04,-2.122856926956912167e-04,-1.969966149912004980e-04,-2.370035574964677760e+00,-1.358628433252423884e+00,-6.303891679718416352e-01,-2.370035574964677760e+00,-1.307715952856683117e+01
2.300000000000000100e-01,-3.872803986856607032e-04,-6.134638087017655651e-04,-8.376564076072590256e-04,-3.872803986856607032e-04,-2.261834100161048619e-04,-2.241925989054934605e-04,-2.478594551588228612e+00,-1.447573824103071116e+00,-7.174163164975790874e-01,-2.478594551588228612e+00,-1.393075407656663600e+01
2.399999999999999911e-01,-4.022058392721911753e-04,-6.424846249279167303e-04,-8.936035889463836077e-04,-4.022058392721911753e-04,-2.402787856557255550e-04,-2.511189640184668774e-04,-2.574117371342023564e+00,-1.537784228196643621e+00,-8.035806848590940632e-01,-2.574117371342023564e+00,-1.474644685319328374e+01
2.500000000000000000e-01,-4.151135878228630251e-04,-6.696500128350276783e-04,-9.468975364352580143e-04,-4.151135878228630251e-04,-2.545364250121646531e-04,-2.772475236002303360e-04,-2.656726962066323416e+00,-1.629033120077853836e+00,-8.871920755207370890e-01,-2.656726962066323416e+00,-1.551885647299474336e+01
2.600000000000000089e-01,-4.257860112151550989e-04,-6.946111527089829721e-04,-9.967100483773254100e-04,-4.257860112151550989e-04,-2.688251414938278732e-04,-3.020988956683424379e-04,-2.725030471776992425e+00,-1.720480905560498375e+00,-9.667164661386957736e-01,-2.725030471776992425e+00,-1.623668353042856083e+01
2.700000000000000178e-01,-4.340974114653166674e-04,-7.170134407401978788e-04,-1.042268022875955961e-03,-4.340974114653166674e-04,-2.829160292748812114e-04,-3.252545821357580823e-04,-2.778223433378026463e+00,-1.810662587359239684e+00,-1.040814662834425919e+00,-2.778223433378026463e+00,-1.688910205071507775e+01
2.800000000000000266e-01,-4.401779309800093218e-04,-7.366711401882041930e-04,-1.083033509689164311e-03,-4.401779309800093218e-04,-2.964932092081948713e-04,-3.463623695009601178e-04,-2.817138758272059729e+00,-1.897556538932447134e+00,-1.108359582403072308e+00,-2.817138758272059729e+00,-1.746916463882273618e+01
2.899999999999999800e-01,-4.446072590008862970e-04,-7.537892312762570863e-04,-1.118924916709687850e-03,-4.446072590008862970e-04,-3.091819722753707893e-04,-3.651356854334307641e-04,-2.845486457605672204e+00,-1.978764622562372955e+00,-1.168434193386978404e+00,-2.845486457605672204e+00,-1.797805582066506958e+01
2.999999999999999889e-01,-4.485109208947488037e-04,-7.691072552053284349e-04,-1.150455788823217997e-03,-4.485109208947488037e-04,-3.205963343105796312e-04,-3.813485336178895624e-04,-2.870469893726392385e+00,-2.051816539587709709e+00,-1.220315307577246600e+00,-2.870469893726392385e+00,-1.842780522267404564e+01
