T_s,Sd_m,Sa_pseudo_m_per_s2,Sa_pseudo_g,Sa_actual_m_per_s2,Sa_actual_g
5.000000000000000278e-02,2.054783858852650804e-04,3.244784610659119384e+00,3.308759475110378823e-01,3.238075164409758067e+00,3.301917743989801202e-01
6.000000000000000472e-02,2.928966370307558458e-04,3.211971042114466268e+00,3.275298947259733251e-01,3.209614107710191622e+00,3.272895543034768928e-01
7.000000000000000666e-02,4.130015486049842745e-04,3.327479103484467071e+00,3.393084390168372710e-01,3.336595807547574566e+00,3.402380841110445031e-01
8.000000000000001554e-02,5.718746672689783463e-04,3.527610458093387358e+00,3.597161577188323633e-01,3.534497528406188138e+00,3.604184434446205954e-01
9.000000000000001055e-02,8.104408165746026941e-04,3.949990246956617490e+00,4.027869095926353560e-01,3.938162241458751822e+00,4.015807886952987849e-01
1.000000000000000056e-01,8.998232358416583844e-04,3.552359747466119710e+00,3.622398828821381533e-01,3.539294814854162752e+00,3.609076305215504488e-01
1.100000000000000144e-01,1.215861668852540566e-03,3.966966505131531040e+00,4.045180061623012135e-01,3.998130173496272199e+00,4.076958159510405966e-01
1.200000000000000094e-01,1.656807301852715724e-03,4.542231288367373665e+00,4.631786887843834521e-01,4.553265773103774450e+00,4.643038930831399624e-01
1.300000000000000044e-01,2.204735224871779819e-03,5.150263781924556916e+00,5.251807479541491519e-01,5.198271711444483856e+00,5.300761943624463512e-01
1.400000000000000133e-01,2.495162301948617573e-03,5.025768334029453221e+00,5.124857452880905440e-01,5.002796057720932055e+00,5.101432250280097946e-01
1.500000000000000222e-01,2.793435856582113328e-03,4.901352324317091558e+00,4.997988430623191425e-01,4.903227099721954474e+00,4.999900169499222335e-01
1.600000000000000311e-01,3.943814028465021486e-03,6.081856920690049684e+00,6.201768107039662414e-01,6.102970295142200463e+00,6.223297757279193654e-01
1.700000000000000400e-01,4.799702086568455837e-03,6.556562053635124343e+00,6.685832627487597879e-01,6.572929358936026034e+00,6.702522634065686269e-01
1.800000000000000488e-01,5.219015387219058492e-03,6.359212004327194023e+00,6.484591582576306745e-01,6.408520480819515974e+00,6.534872235492769077e-01
1.900000000000000022e-01,6.078872309279814354e-03,6.647763423526679816e+00,6.778832143011813693e-01,6.627736979600536316e+00,6.758410853452031519e-01
2.000000000000000111e-01,7.257126105199193135e-03,7.162496374713442471e+00,7.303713678690931799e-01,7.145766004582929654e+00,7.286653449019726558e-01
2.100000000000000200e-01,9.937739743752130317e-03,8.896286613316700453e+00,9.071687694897545562e-01,8.954641207597260788e+00,9.131192820787181752e-01
2.200000000000000289e-01,1.184888970389273016e-02,9.664781319798514403e+00,9.855334206684764897e-01,9.653543584972824831e+00,9.843874906285862147e-01
2.300000000000000377e-01,1.330426861166503043e-02,9.928761288692939502e+00,1.012451886086781938e+00,9.962366763585173146e+00,1.015878690846025334e+00
2.400000000000000466e-01,1.578618546556071270e-02,1.081968094078547260e+01,1.103300407456722976e+00,1.090330436903618505e+01,1.111827624013927762e+00
2.500000000000000555e-01,1.778759719489913030e-02,1.123561904381318932e+01,1.145714290181987671e+00,1.130519190551144781e+01,1.152808747687686264e+00
2.600000000000000644e-01,1.906548483534750010e-02,1.113424810886674621e+01,1.135377331593025785e+00,1.116968909366118901e+01,1.138991306272905568e+00
2.700000000000000178e-01,2.048100774664198334e-02,1.109132752784652709e+01,1.131000650359350823e+00,1.117475913575152724e+01,1.139508306684905437e+00
2.800000000000000266e-01,2.289104954111391421e-02,1.152681649472103764e+01,1.175408166368845375e+00,1.152235752781924027e+01,1.174953478284555874e+00
2.900000000000000355e-01,2.522588539586927830e-02,1.184159379426621506e+01,1.207506517951208114e+00,1.192920972353883435e+01,1.216440856310649909e+00
3.000000000000000444e-01,2.816966314232020527e-02,1.235659694785102758e+01,1.260022224495727761e+00,1.235338046121622924e+01,1.259694234138694746e+00
3.100000000000000533e-01,3.019759700428760463e-02,1.240534178130446108e+01,1.264992814192865245e+00,1.248696605034550089e+01,1.273316173244227301e+00
3.200000000000000622e-01,3.118840352530387328e-02,1.202410955844882423e+01,1.226117946337314413e+00,1.207750534559882638e+01,1.231562801323472067e+00
3.300000000000000155e-01,3.132903157373211761e-02,1.135739753542603836e+01,1.158132240410949532e+00,1.140814693599812379e+01,1.163307239067176369e+00
3.400000000000000244e-01,3.077348923185910939e-02,1.050941746573123048e+01,1.071662337875954663e+00,1.056149235917630591e+01,1.076972499189458921e+00
3.500000000000000333e-01,2.939693164544649948e-02,9.473831377842344637e+00,9.660619455004864076e-01,9.514073142148493645e+00,9.701654634506681196e-01
3.600000000000000422e-01,2.723001171824056613e-02,8.294735910372278198e+00,8.458276690176848023e-01,8.329263424163549701e+00,8.493484955783626722e-01
3.700000000000000511e-01,2.464929207498343586e-02,7.108218014521359152e+00,7.248365154789209175e-01,7.150761754954640281e+00,7.291747696669750312e-01
3.800000000000000600e-01,2.285754474830504687e-02,6.249166876619622002e+00,6.372376781693669390e-01,6.259826841373812734e+00,6.383246920583290906e-01
3.900000000000000688e-01,2.605195994311973115e-02,6.761933951653335662e+00,6.895253681586817063e-01,6.798345130358036670e+00,6.932382750845637043e-01
4.000000000000000777e-01,2.728205862826771008e-02,6.731578147708218829e+00,6.864299376146002496e-01,6.778040836871112695e+00,6.911678133583959438e-01
4.100000000000000866e-01,3.012128992157194277e-02,7.074008699022839686e+00,7.213481361140491321e-01,7.090544313198596349e+00,7.230342995007058571e-01
4.200000000000000400e-01,3.325346382220734781e-02,7.442143602973317229e+00,7.588874491261865529e-01,7.485324623716880232e+00,7.632906878207013079e-01
4.300000000000000488e-01,3.591338439435404900e-02,7.667948008145604177e+00,7.819130904177884478e-01,7.722720905979342021e+00,7.874983716130730116e-01
4.400000000000000577e-01,3.810599179081338578e-02,7.770476534844764416e+00,7.923680905145757958e-01,7.795586823773838603e+00,7.949286273879295761e-01
4.500000000000000666e-01,3.957975588613350110e-02,7.716277192845936383e+00,7.868412957376818007e-01,7.757505829072677273e+00,7.910454466176194410e-01
4.600000000000000755e-01,4.035129358975169528e-02,7.528380052987938775e+00,7.676811197491436589e-01,7.582369671014892454e+00,7.731865286326006226e-01
4.700000000000000844e-01,4.065699215963323315e-02,7.266064803146608853e+00,7.409324084316876169e-01,7.301842467835060191e+00,7.445807149062177999e-01
4.800000000000000933e-01,4.059238448351818601e-02,6.955395426202123588e+00,7.092529483770833032e-01,6.993420033003703296e+00,7.131303791818515148e-01
4.900000000000000466e-01,4.017863672086135346e-02,6.606368176759410460e+00,6.736620738743006598e-01,6.652575347102037462e+00,6.783738939497216958e-01
5.000000000000001110e-01,3.978124789885240792e-02,6.282002869493444663e+00,6.405860175996334060e-01,6.312386115630582495e+00,6.436842464685272880e-01
5.100000000000001199e-01,3.929168280515895478e-02,5.963758024452190831e+00,6.081340747811119218e-01,5.999861615176603991e+00,6.118156164619522608e-01
5.200000000000001288e-01,3.884100120787088717e-02,5.670788705087564274e+00,5.782595182949901158e-01,5.696590349845955359e+00,5.808905538431529125e-01
5.300000000000001377e-01,3.842432974839722626e-02,5.400255379048625848e+00,5.506727964237151385e-01,5.428542133534456582e+00,5.535572426398879253e-01
